#TABLE venues
venue_key	unit_id	collection_type	domain	venue_name_verbatim	md_file	md_sha256	capture_date	capture_time	capture_agent	capture_method	page_language	stored_copy	viewport	slice_pages_total	slice_pages_wedding	slice_pages_venue	slice_pages_dropped	slice_truncated	scope_a_wedding_present	screening_decision	screening_flags	search_record	access_wall	offer_row_count	pcr_count	amount_count	doc_count	code_row_count	codebook_version	coder_model	coder_run_id	coded_at	duration_ms	total_cost_usd	notes
thevalleyestate.com.au			thevalleyestate.com.au	The Valley Estate							en						1	Qualifies (independent test applied twice): venue offers ceremony and reception on its own premises, states exclusive-use wedding celebrations on /weddings/ and /explore/, and is not matched by any §2.7 exclusion (not a bare supplier, not accommodation-only, not testimonial-only). Enters study as a standard full venue; no ceremony-only, small-wedding-only, or public-authority flags apply.		not required under §13.4; Scope A-wedding text is present and coded directly from the capture	Wedding brochure referenced repeatedly ("the wedding brochure/s sent through to you") is gated behind the wedding enquiry form (name, partner's name, email, phone, postal address required before submission); never requested, per protocol. No other login/paywall/account walls encountered in the captured slice.	1	1	0	1	174	1.0
#TABLE offers
venue_key	offer_id	offer_seq	offer_name_verbatim	offer_delimited	offer_kind	offer_source_location	offer_shared_with_events	source_url	note
thevalleyestate.com.au	thevalleyestate.com.au-1	1		0	full_wedding_prose	prose across multiple Scope A-wedding pages (no delimited named package, space-with-own-price, or ceremony/reception-only option found)	0	https://thevalleyestate.com.au/weddings/	No separately named, separately priced or separately capacitated packages, tiers, or spaces were found in the captured scope (published_prices: none, distinct_prices: 0 per capture front matter). One prose wedding-offer row created per §2.4 fallback rule; offer_delimited=0.
#TABLE pcrs
venue_key	offer_id	pcr_id	pcr_seq	pcr_priced	pcr_basis_verbatim	pcr_mode_label_verbatim	pcr_day_condition_verbatim	pcr_season_condition_verbatim	pcr_headcount_condition_verbatim	pcr_time_block_verbatim	pcr_validity_verbatim	pcr_fee_waived_condition	pcr_fee_waived_verbatim	pcr_total_claim	source_url	pcr_notes
thevalleyestate.com.au	thevalleyestate.com.au-1	thevalleyestate.com.au-1-1	1	0		bespoke packages						0	0		0	https://thevalleyestate.com.au/wedding-enquiry-form/	No published figure anywhere in captured scope. Pricing is routed entirely through the enquiry form and a wedding brochure sent afterward; the brochure is stated to hold "additional charges" for ceremony locations and additions, and "minimum spend requirements", but no number is captured.
#TABLE amounts
venue_key	offer_id	pcr_id	amount_id	V8_amount_verbatim	V8_currency_verbatim	V8_currency_resolved	V8_unit	V8_buys	V8_condition	V8_tax_statement	V8_status	V8_range_id	V8_conflict	V8_source_location	V8_set_by	source_url	note
#TABLE codes
venue_key	level	entity_id	variable	field	value	quote	source_url	source_location	note
thevalleyestate.com.au	page	p1	capture	page_scope	wedding			https://thevalleyestate.com.au		Home page carries a WEDDINGS section with wedding trigger words in heading and opening text.
thevalleyestate.com.au	page	p2	capture	page_scope	venue			https://thevalleyestate.com.au/about-us/		About page; no wedding trigger word in heading/URL/opening text.
thevalleyestate.com.au	page	p3	capture	page_scope	venue			https://thevalleyestate.com.au/our-people/		Team bio page; no wedding trigger word in heading/URL/opening text.
thevalleyestate.com.au	page	p4	capture	page_scope	venue			https://thevalleyestate.com.au/location/		Location/about page; no wedding trigger word in heading/URL/opening text.
thevalleyestate.com.au	page	p5	capture	page_scope	wedding			https://thevalleyestate.com.au/weddings/		Heading and URL carry the wedding trigger word.
thevalleyestate.com.au	page	p6	capture	page_scope	wedding			https://thevalleyestate.com.au/pre-ceremony/		URL and heading carry the ceremony trigger word.
thevalleyestate.com.au	page	p7	capture	page_scope	wedding			https://thevalleyestate.com.au/ceremony/		URL and heading carry the ceremony trigger word (bracket tag was [other]; §2.1 trigger words govern instead).
thevalleyestate.com.au	page	p8	capture	page_scope	wedding			https://thevalleyestate.com.au/reception/		URL and heading; content is ceremony/reception spaces for weddings.
thevalleyestate.com.au	page	p9	capture	page_scope	wedding			https://thevalleyestate.com.au/food-and-drink/		Opening text carries the trigger phrase "your big day" (bracket tag was [other]; §2.1 trigger words govern instead).
thevalleyestate.com.au	page	p10	capture	page_scope	wedding			https://thevalleyestate.com.au/available-wedding-dates/		Heading and URL carry the wedding trigger word.
thevalleyestate.com.au	page	p11	capture	page_scope	wedding			https://thevalleyestate.com.au/testimonials/		Heading and body reference couples who "said 'I do'"; wedding trigger present.
thevalleyestate.com.au	page	p12	capture	page_scope	wedding			https://thevalleyestate.com.au/explore/		Opening text "Exclusively yours for the day of your wedding" carries the wedding trigger word.
thevalleyestate.com.au	page	p13	capture	page_scope	wedding			https://thevalleyestate.com.au/our-spaces/		Body describes ceremony and reception spaces for weddings; linked from wedding scope.
thevalleyestate.com.au	page	p14	capture	page_scope	venue			https://thevalleyestate.com.au/business-and-private-events/		Heading "Business & Private Events"; no wedding trigger word anywhere on the page.
thevalleyestate.com.au	page	p15	capture	page_scope	out			https://thevalleyestate.com.au/whats-on/		Father's Day BBQ and Melbourne Cup content only; no wedding trigger word or wedding content.
thevalleyestate.com.au	page	p16	capture	page_scope	wedding			https://thevalleyestate.com.au/media/		Heading "Media" and body carry the wedding trigger word repeatedly ("real weddings").
thevalleyestate.com.au	page	p17	capture	page_scope	venue			https://thevalleyestate.com.au/enquire-now/		Generic multi-event enquiry form ("Your dream event"); no wedding trigger word in heading/URL/opening text (Event Type merely lists Wedding as one option).
thevalleyestate.com.au	page	p18	capture	page_scope	venue			https://thevalleyestate.com.au/contact-us/		Contact page; no wedding trigger word.
thevalleyestate.com.au	page	p19	capture	page_scope	venue			https://thevalleyestate.com.au/terms-and-conditions/		Site-wide terms; no wedding trigger word.
thevalleyestate.com.au	page	p20	capture	page_scope	wedding			https://thevalleyestate.com.au/wedding-enquiry-form/		URL and heading carry the wedding trigger word.
thevalleyestate.com.au	page	p21	capture	page_scope	wedding			https://thevalleyestate.com.au/testimonials/sinead-joel/		Linked from /testimonials/ (Scope A-wedding); content is a couple's account of their wedding day and wedding coordinator.
thevalleyestate.com.au	page	p22	capture	page_scope	wedding			https://thevalleyestate.com.au/testimonials/alice-and-michael/		Linked from /testimonials/; content is a couple's wedding-day testimonial.
thevalleyestate.com.au	page	p23	capture	page_scope	wedding			https://thevalleyestate.com.au/testimonials/amber-and-riley/		Linked from /testimonials/; content is a couple's wedding-day testimonial.
thevalleyestate.com.au	page	p24	capture	page_scope	out			https://thevalleyestate.com.au/asado-fathers-day-bbq/		Father's Day BBQ event; no wedding content.
thevalleyestate.com.au	page	p25	capture	page_scope	out			https://thevalleyestate.com.au/melbourne-cup-luncheon-at-the-valley-estate/		Melbourne Cup luncheon event; no wedding content.
thevalleyestate.com.au	page	p26	capture	page_scope	wedding			https://thevalleyestate.com.au/media/qweekend-hailey-joel/		Real-wedding feature; body states "Hailey and Joel celebrated their love at The Valley Estate".
thevalleyestate.com.au	page	p27	capture	page_scope	wedding			https://thevalleyestate.com.au/media/ocean-road-magazine-chloe-josh/		Real-wedding feature naming a wedding at the venue.
thevalleyestate.com.au	page	p28	capture	page_scope	wedding			https://thevalleyestate.com.au/media/ocean-road-magazine-tiffany-matteo/		Real-wedding feature naming a wedding at the venue.
thevalleyestate.com.au	page	p29	capture	page_scope	wedding			https://thevalleyestate.com.au/media/qweekend-wedding-lisa-joey/		Real-wedding feature naming a wedding at the venue.
thevalleyestate.com.au	page	p30	capture	page_scope	wedding			https://thevalleyestate.com.au/media/ocean-road-magazine-sophia-victor/		Real-wedding feature naming a wedding at the venue.
thevalleyestate.com.au	page	p31	capture	page_scope	wedding			https://thevalleyestate.com.au/media/qweekend-vow-renewal-of-ellie-ross/		Vow-renewal feature naming an event at the venue.
thevalleyestate.com.au	page	p32	capture	page_scope	wedding			https://thevalleyestate.com.au/media/qweekend-wedding-of-maddie-mark/		Real-wedding feature naming a wedding at the venue.
thevalleyestate.com.au	page	p33	capture	page_scope	wedding			https://thevalleyestate.com.au/media/qweekend-wedding-of-charlie-caitlin/		Real-wedding feature naming a wedding at the venue.
thevalleyestate.com.au	page	p34	capture	page_scope	wedding			https://thevalleyestate.com.au/media/ocean-road-magazine-sarah-josef/		Real-wedding feature naming a wedding at the venue.
thevalleyestate.com.au	page	p35	capture	page_scope	wedding			https://thevalleyestate.com.au/media/mercedes-benz-gold-coast-steering-into-romance-at-the-valley-estate/		Body carries the wedding trigger word: "the opulent world of weddings at The Valley Estate".
thevalleyestate.com.au	page	p36	capture	page_scope	wedding			https://thevalleyestate.com.au/media/ocean-road-magazine-catherine-jimmy/		Real-wedding feature naming a wedding at the venue.
thevalleyestate.com.au	page	p37	capture	page_scope	wedding			https://thevalleyestate.com.au/media/ocean-road-magazine-shiying-and-baron/		Real-wedding feature naming a wedding at the venue.
thevalleyestate.com.au	page	p38	capture	page_scope	wedding			https://thevalleyestate.com.au/media/qweekend-sabrina-ryan/		Real-wedding feature naming a wedding at the venue.
thevalleyestate.com.au	page	p39	capture	page_scope	wedding			https://thevalleyestate.com.au/media/ocean-road-magazine-tracey-curosh/		Real-wedding feature naming a wedding at the venue.
thevalleyestate.com.au	page	p40	capture	page_scope	wedding			https://thevalleyestate.com.au/media/vogue-the-valley-estate-featured-in-vogue-australia/		Body carries the wedding trigger word: "premier wedding and event venue".
thevalleyestate.com.au	page	p41	capture	page_scope	wedding			https://thevalleyestate.com.au/media/ocean-road-magazine-alicia-and-chris/		Real-wedding feature naming a wedding at the venue.
thevalleyestate.com.au	page	p42	capture	page_scope	wedding			https://thevalleyestate.com.au/media/ocean-road-magazine-brooke-matt/		Real-wedding feature naming a wedding at the venue.
thevalleyestate.com.au	page	p43	capture	page_scope	venue			https://thevalleyestate.com.au/media/gold-coast-bulletin-cherie-uzan-women-of-the-year/		Award feature about the owner; no wedding trigger word in heading or body.
thevalleyestate.com.au	page	p44	capture	page_scope	wedding			https://thevalleyestate.com.au/media/gold-coast-bulletin-the-weekend-women-of-the-year/		Body carries the wedding trigger word: "sought-after destination for weddings and events".
thevalleyestate.com.au	page	p45	capture	page_scope	wedding			https://thevalleyestate.com.au/media/hello-may-magazine-wedding-of-georgia-and-matt/		Real-wedding feature naming a wedding at the venue.
thevalleyestate.com.au	page	p46	capture	page_scope	wedding			https://thevalleyestate.com.au/media/qweekend-wedding-of-grace-noah/		Real-wedding feature naming a wedding at the venue.
thevalleyestate.com.au	page	p47	capture	page_scope	wedding			https://thevalleyestate.com.au/media/gold-coast-panache-wedding-of-renee-david/		Real-wedding feature naming a wedding at the venue.
thevalleyestate.com.au	page	p48	capture	page_scope	wedding			https://thevalleyestate.com.au/media/qweekend-wedding-of-amy-fabian/		Real-wedding feature naming a wedding at the venue; "the first wedding at the estate".
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V1	V1_ceremony	1	host their ceremony, photoshoot, and reception all within the one, exclusive property	https://thevalleyestate.com.au/weddings/
