stem	codename	version	position
james-pringle-riding-unicorns	phi	beta	1
james-pringle-riding-unicorns	omicron	delta	2
james-pringle-riding-unicorns	omega	gamma	3
james-pringle-riding-unicorns	tau	dappnode	4
james-pringle-riding-unicorns	lambda	epsilon	5
james-pringle-riding-unicorns	chi	alpha	6
jason-lemkin-saastr	upsilon	delta	1
jason-lemkin-saastr	phi	gamma	2
jason-lemkin-saastr	sigma	epsilon	3
jason-lemkin-saastr	chi	beta	4
jason-lemkin-saastr	lambda	alpha	5
jason-lemkin-saastr	rho	dappnode	6
joern-menninger-startupradio	rho	delta	1
joern-menninger-startupradio	mu	epsilon	2
joern-menninger-startupradio	phi	beta	3
joern-menninger-startupradio	tau	alpha	4
joern-menninger-startupradio	xi	dappnode	5
joern-menninger-startupradio	nu	gamma	6
josh-muccio-the-pitch	psi	gamma	1
josh-muccio-the-pitch	xi	dappnode	2
josh-muccio-the-pitch	omega	alpha	3
josh-muccio-the-pitch	rho	epsilon	4
josh-muccio-the-pitch	lambda	beta	5
josh-muccio-the-pitch	chi	delta	6
