pid,task,start_ts_aest,status,prompt_tokens,prefill_tokens_processed,prefill_duration_s,prefill_rate_tps,gen_tokens,gen_duration_s,gen_rate_tps,total_duration_s,end_ts_aest
88814,5,2026-09-20 21:22:58,success,14199,14199,56.0,253.55,0,0.0,,56.0,2026-09-20 21:23:54
88814,8,2026-09-20 21:23:54,success,14199,14199,73.0,194.51,0,0.0,,73.0,2026-09-20 21:25:07
88814,12,2026-09-20 21:26:48,success,22576,22528,1501.9,15.00,0,24.0,,1526.0,2026-09-20 21:52:14
88814,25,2026-09-20 21:52:14,success,22576,22576,164.0,137.66,240,235.0,1.021,399.0,2026-09-20 21:58:53
88814,269,2026-09-20 21:58:53,success,22576,22576,7.0,3225.14,0,0.0,,7.0,2026-09-20 21:59:00
88814,275,2026-09-20 21:59:12,aborted_or_superseded,22578,14336,721.3,19.88,0,0.0,,721.0,2026-09-20 22:11:13
99430,0,2026-09-20 22:13:01,success,22578,20480,1284.5,15.94,0,221.0,,1506.0,2026-09-20 22:38:07
99430,12,2026-09-20 22:38:08,success,31907,31907,52.0,613.60,0,0.0,,52.0,2026-09-20 22:39:00
99430,16,2026-09-20 22:39:00,success,32209,4096,154.9,26.45,0,104.0,,258.0,2026-09-20 22:43:18
99430,22,2026-09-20 22:43:18,success,31907,31907,120.0,265.89,0,0.0,,120.0,2026-09-20 22:45:18
99430,25,2026-09-20 22:45:18,success,32209,2048,137.4,14.91,0,154.0,,292.0,2026-09-20 22:50:10
99430,34,2026-09-20 22:50:10,success,32209,2048,171.2,11.96,0,189.0,,360.0,2026-09-20 22:56:10
99430,41,2026-09-20 22:56:10,aborted_or_superseded,32209,,,,0,,,n/a,
101249,0,2026-09-20 23:02:53,success,21678,6144,202.1,30.41,0,103.0,,1517.0,2026-09-20 23:28:10
101249,6,2026-09-20 23:07:56,success,21678,4096,256.4,15.98,0,153.0,,1624.0,2026-09-20 23:35:00
101249,11,2026-09-20 23:14:45,success,21678,2048,173.9,11.78,0,187.0,,1576.0,2026-09-20 23:41:01
101249,15,2026-09-20 23:20:47,success,21678,21678,1418.0,15.29,0,0.0,,1418.0,2026-09-20 23:44:25
101249,18,2026-09-20 23:44:34,success,21678,21678,284.0,76.33,100,0.0,,284.0,2026-09-20 23:49:18
101249,120,2026-09-20 23:49:37,success,21678,21678,158.0,137.20,114,24.0,4.750,182.0,2026-09-20 23:52:39
103467,0,2026-09-20 23:53:31,aborted_or_superseded,21980,20480,1284.0,15.95,928,1691.0,0.549,2975.0,2026-09-21 00:43:06
105324,0,2026-09-21 00:43:50,in_flight,21726,20480,1278.5,16.02,488,,,2200.3,
