attempt_file,segment,t0_aest,source,worker_start_aest,worker_end_aest,elapsed_s,outcome,n_requests_in_window,queue_wait_s,compute_s_in_window,prompt_tokens_max_in_window
pilot.out,supplier-horse-owner,2026-09-20 22:00:11,sweep-supplier-horse-owner-horsezone-com-au,2026-09-20 22:00:16,2026-09-20 22:00:16,0,failed,0,,0.0,
pilot.out,supplier-horse-owner,2026-09-20 22:00:11,sweep-supplier-horse-owner-horsedeals-com-au-search-endpoint,2026-09-20 22:00:16,2026-09-20 22:00:16,0,failed,0,,0.0,
pilot.out,supplier-horse-owner,2026-09-20 22:00:11,sweep-supplier-horse-owner-facebook-sale-and-lease-groups,2026-09-20 22:00:16,2026-09-20 22:00:17,1,failed,0,,0.0,
pilot.out,supplier-horse-owner,2026-09-20 22:00:11,sweep-supplier-horse-owner-gumtree-horses-and-ponies,2026-09-20 22:00:16,2026-09-20 22:00:16,0,failed,0,,0.0,
pilot.out,supplier-horse-owner,2026-09-20 22:00:11,sweep-supplier-horse-owner-biosecurity-queensland-property-identification-codes,2026-09-20 22:00:16,2026-09-20 22:00:16,0,failed,0,,0.0,
pilot.out,supplier-horse-owner,2026-09-20 22:00:11,sweep-supplier-horse-owner-the-estate-s-own-ledger-and-mailbox,2026-09-20 22:00:16,2026-09-20 22:00:17,1,failed,0,,0.0,
pilot2.out,supplier-horse-owner,2026-09-20 22:12:57,sweep-supplier-horse-owner-horsezone-com-au,2026-09-20 22:13:03,2026-09-20 22:59:00,2757,"ended_by_operator (assumed, no FAIL line logged)",6,1505.0,1082.4,32209
pilot2.out,supplier-horse-owner,2026-09-20 22:12:57,sweep-supplier-horse-owner-horsedeals-com-au-search-endpoint,2026-09-20 22:13:03,2026-09-20 22:13:03,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot2.out,supplier-horse-owner,2026-09-20 22:12:57,sweep-supplier-horse-owner-facebook-sale-and-lease-groups,2026-09-20 22:13:03,2026-09-20 22:13:03,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot2.out,supplier-horse-owner,2026-09-20 22:12:57,sweep-supplier-horse-owner-gumtree-horses-and-ponies,2026-09-20 22:13:03,2026-09-20 22:13:03,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot2.out,supplier-horse-owner,2026-09-20 22:12:57,sweep-supplier-horse-owner-biosecurity-queensland-property-identification-codes,2026-09-20 22:13:03,2026-09-20 22:13:03,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot2.out,supplier-horse-owner,2026-09-20 22:12:57,sweep-supplier-horse-owner-the-estate-s-own-ledger-and-mailbox,2026-09-20 22:13:03,2026-09-20 22:13:03,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot3.out,supplier-horse-owner,2026-09-20 22:59:00,sweep-supplier-horse-owner-horsezone-com-au,2026-09-20 22:59:05,2026-09-20 23:02:27,202,"ended_by_operator (assumed, no FAIL line logged)",0,,0.0,
pilot3.out,supplier-horse-owner,2026-09-20 22:59:00,sweep-supplier-horse-owner-horsedeals-com-au-search-endpoint,2026-09-20 22:59:05,2026-09-20 22:59:05,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot3.out,supplier-horse-owner,2026-09-20 22:59:00,sweep-supplier-horse-owner-facebook-sale-and-lease-groups,2026-09-20 22:59:05,2026-09-20 22:59:05,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot3.out,supplier-horse-owner,2026-09-20 22:59:00,sweep-supplier-horse-owner-gumtree-horses-and-ponies,2026-09-20 22:59:05,2026-09-20 22:59:05,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot3.out,supplier-horse-owner,2026-09-20 22:59:00,sweep-supplier-horse-owner-biosecurity-queensland-property-identification-codes,2026-09-20 22:59:05,2026-09-20 22:59:05,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot3.out,supplier-horse-owner,2026-09-20 22:59:00,sweep-supplier-horse-owner-the-estate-s-own-ledger-and-mailbox,2026-09-20 22:59:05,2026-09-20 22:59:05,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
