run	model	think	prompt_tokens	output_tokens	prefill_s	decode_s	server_total_s	wall_s	thinking_chars	finished
ponyclub-extract-nothink	qwen3-30b-128k	off	14985	2500	1	2867	5995	5995	0	2026-09-22T02:52:45
rating-james-pringle-riding-unicorns	qwen3-30b-128k	on	1969	1112	50	121	187	187	4074	2026-09-22T03:24:25
rating-james-pringle-riding-unicorns	qwen3-30b-128k	on	1969	1500	0	174	598	598	6493	2026-09-22T03:34:36
rating-jason-lemkin-saastr	qwen3-30b-128k	on	2506	1154	66	149	243	243	3897	2026-09-22T03:38:39
rating-joern-menninger-startupradio	qwen3-30b-128k	on	1953	696	49	69	739	739	2546	2026-09-22T03:50:58
rating-josh-muccio-the-pitch	qwen3-30b-128k	on	2353	846	61	100	186	187	3021	2026-09-22T03:54:05
rating-josiah-mackenzie-hospitality-daily	qwen3-30b-128k	on	2434	2500	64	364	2027	2027	11222	2026-09-22T04:27:52
rating-laura-lacurezeanu-ai-founders-hq	qwen3-30b-128k	on	2279	713	59	80	1722	1722	2316	2026-09-22T04:56:34
rating-lenny-rachitsky-lennys-podcast	qwen3-30b-128k	on	2156	1081	55	124	908	908	4149	2026-09-22T05:11:42
rating-lex-fridman-lex-fridman-podcast	qwen3-30b-128k	on	2083	743	55	78	797	797	2459	2026-09-22T05:24:59
rating-matt-watson-startup-hustle	qwen3-30b-128k	on	2149	884	55	98	205	205	3086	2026-09-22T05:28:24
rating-matt-wolfe-future-tools	qwen3-30b-128k	on	1988	832	47	86	134	134	2948	2026-09-22T05:30:38
rating-matt-wolfe-next-wave	qwen3-30b-128k	on	2599	717	66	90	155	155	2398	2026-09-22T05:33:14
rating-nathan-labenz-cognitive-revolution	qwen3-30b-128k	on	2761	723	71	94	165	165	2555	2026-09-22T05:35:59
ponyclub-chunk-01	qwen3-30b-128k	on	3473	1500	98	240	338	338	5304	2026-09-22T05:41:37
ponyclub-chunk-02	qwen3-30b-128k	on	3304	1500	66	233	300	300	4730	2026-09-22T05:46:37
ponyclub-zone-01	qwen3-30b-128k	on	2100	3000	1	426	427	427	10833	2026-09-22T05:53:44
ponyclub-zone-02	qwen3-30b-128k	on	1859	3000	21	404	425	425	9114	2026-09-22T06:00:50
ponyclub-zone-02	qwen3-30b-128k	on	1859	4516	0	745	745	745	12731	2026-09-22T06:13:15
query-equine-vet-beaudesert-qld	qwen3-30b-128k	on	2745	1449	72	203	275	276	4141	2026-09-22T06:17:50
query-equine-vet-boonah-qld	qwen3-30b-128k	on	2576	1533	43	209	252	252	4359	2026-09-22T06:22:03
query-equine-vet-canungra-qld	qwen3-30b-128k	on	2560	3296	42	543	585	585	12886	2026-09-22T06:31:48
query-equine-vet-jimboomba-qld	qwen3-30b-128k	on	2703	4000	47	757	804	804	16467	2026-09-22T06:45:12
