FIELD	ENTITY	VALUE	QUOTE
V6	-	2	
AMOUNT	on enquiry	request our pricing guide	for remaining 2027 dates
NOTE	V6	No number, but a price route is stated: on enquiry.
V7_package_total	-	0	
V7_per_head	-	0	
V7_site_fee	-	0	
V7_ceremony_fee	-	0	
V7_min_spend	-	0	
V7_min_guests_charged	-	0	
V7_per_hour	-	0	
V7_per_night	-	0	
V7_tier_day	-	0	
V7_tier_season	-	0	
V7_tier_headcount	-	0	
V7_tier_year	-	0	
V7_per_extra_guest	-	0	
V7_per_extra_hour	-	0	
V7_addon_priced	-	0	
V7_fee_waived	-	0	
V7_commission_or_percentage	-	0
