#TABLE venues
venue_key	unit_id	collection_type	domain	venue_name_verbatim	md_file	md_sha256	capture_date	capture_time	capture_agent	capture_method	page_language	stored_copy	viewport	slice_pages_total	slice_pages_wedding	slice_pages_venue	slice_pages_dropped	slice_truncated	scope_a_wedding_present	screening_decision	screening_flags	search_record	access_wall	offer_row_count	pcr_count	amount_count	doc_count	code_row_count	codebook_version	coder_model	coder_run_id	coded_at	duration_ms	total_cost_usd	notes
binnaburralodge.com.au			binnaburralodge.com.au	Binna Burra Lodge							120	3	14	0	0	1	enter	offer_shared_with_events=1	Not performed as a separate exhaustive search; the crawl already covers the full site (120 pages) including /weddings/ and /venues/, both trigger-word matches under the wedding-page trigger list, so an additional search would not add scope.		4	4	0	0	260	1.0					Most pages the crawler tagged [wedding] are false positives: the trigger match is the surname "Groom" (Arthur/Dave/Tony/Richard/Lisa Groom, family founders) or the building "Groom's Cottage", not a marriage-wedding word in the page's own heading/URL/opening text per S1.2.1. Only /venues/ and /weddings/ carry a genuine wedding trigger word in scope (venues/ appears twice in the crawl, weddings/ once). No monetary figure appears anywhere in Scope A-wedding.

#TABLE offers
venue_key	offer_id	offer_seq	offer_name_verbatim	offer_delimited	offer_kind	offer_source_location	offer_shared_with_events	source_url	note
binnaburralodge.com.au	binnaburralodge.com.au-1	1		0	general	opening prose of /weddings/	1	https://www.binnaburralodge.com.au/weddings/	General wedding-offer framing preceding the three named spaces; carries its own capacity statement (80-person dining space) and accommodation inclusion, qualifying as its own row under codebook §2.4.
binnaburralodge.com.au	binnaburralodge.com.au-2	2	The Heritage Barn	1	space	venue/space list on /weddings/ and /venues/	1	https://www.binnaburralodge.com.au/weddings/	Identical description also appears on /venues/, both in Scope A-wedding.
binnaburralodge.com.au	binnaburralodge.com.au-3	3	The Pottery Shed	1	space	venue/space list on /weddings/ and /venues/	1	https://www.binnaburralodge.com.au/weddings/	Identical description also appears on /venues/.
binnaburralodge.com.au	binnaburralodge.com.au-4	4	Groom's Cottage	1	space	venue/space list on /weddings/ and /venues/	1	https://www.binnaburralodge.com.au/weddings/	Identical description also appears on /venues/; this is the same building as the standalone /groomscottage/ page, but that page itself carries no wedding trigger word and is out of Scope A-wedding.

#TABLE pcrs
venue_key	offer_id	pcr_id	pcr_seq	pcr_priced	pcr_basis_verbatim	pcr_mode_label_verbatim	pcr_day_condition_verbatim	pcr_season_condition_verbatim	pcr_headcount_condition_verbatim	pcr_time_block_verbatim	pcr_validity_verbatim	pcr_fee_waived_condition	pcr_fee_waived_verbatim	pcr_total_claim	source_url	pcr_notes
binnaburralodge.com.au	binnaburralodge.com.au-1	binnaburralodge.com.au-1-1	1	0											0	https://www.binnaburralodge.com.au/weddings/	No figure of any kind published for this offer.
binnaburralodge.com.au	binnaburralodge.com.au-2	binnaburralodge.com.au-2-1	1	0											0	https://www.binnaburralodge.com.au/weddings/	No figure of any kind published for this offer.
binnaburralodge.com.au	binnaburralodge.com.au-3	binnaburralodge.com.au-3-1	1	0											0	https://www.binnaburralodge.com.au/weddings/	No figure of any kind published for this offer.
