#TABLE venues
venue_key	unit_id	collection_type	domain	venue_name_verbatim	md_file	md_sha256	capture_date	capture_time	capture_agent	capture_method	page_language	stored_copy	viewport	slice_pages_total	slice_pages_wedding	slice_pages_venue	slice_pages_dropped	slice_truncated	scope_a_wedding_present	screening_decision	screening_flags	search_record	access_wall	offer_row_count	pcr_count	amount_count	doc_count	code_row_count	codebook_version	coder_model	coder_run_id	coded_at	duration_ms	total_cost_usd	notes
colliston.com.au			A	colliston.com.au	Colliston Farm								en						1	enter	none	Single page captured; wedding trigger words (Weddings, Ceremony, Packages, Elopements) present in body heading and text; whole domain is one page, no further navigation search required.	None identified in visible text; frontmatter records brochure_links=1 but no visible link label or document reference appears in the captured body text, so no document is registered at A4.	1	1	0	0	91	1.0								Page opens with a dated (June 2026) notice pausing wedding enquiries and bookings pending regulatory approvals, then later states "Bookings are now available for 2026 and beyond." The two statements conflict; both are recorded verbatim at V23 with value 8 and neither is reconciled by the coder (S3, S5).

#TABLE offers
venue_key	offer_id	offer_seq	offer_name_verbatim	offer_delimited	offer_kind	offer_source_location	offer_shared_with_events	source_url	note
colliston.com.au	colliston.com.au-1	1	Colliston Farm	1	package	2026 Packages section	1	https://colliston.com.au	Single named package under the "2026 Packages" heading; the page also lists proposals, engagements and functions/retreats as occasions the venue serves.

#TABLE pcrs
venue_key	offer_id	pcr_id	pcr_seq	pcr_priced	pcr_basis_verbatim	pcr_mode_label_verbatim	pcr_day_condition_verbatim	pcr_season_condition_verbatim	pcr_headcount_condition_verbatim	pcr_time_block_verbatim	pcr_validity_verbatim	pcr_fee_waived_condition	pcr_fee_waived_verbatim	pcr_total_claim	source_url	pcr_notes
colliston.com.au	colliston.com.au-1	colliston.com.au-1-1	1	0		venue hire-only		Min 3 / Max 100 Ceremony Guests	Extended hire time for setup and pack-down flexibility		0		0	https://colliston.com.au	No monetary figure of any kind is published in scope; every V8 amount and V6 test above 2 therefore fails.

#TABLE amounts
venue_key	offer_id	pcr_id	amount_id	V8_amount_verbatim	V8_currency_verbatim	V8_currency_resolved	V8_unit	V8_buys	V8_condition	V8_tax_statement	V8_status	V8_range_id	V8_conflict	V8_source_location	V8_set_by	source_url	note

#TABLE codes
venue_key	level	entity_id	variable	field	value	quote	source_url	source_location	note
colliston.com.au	page	p1	capture	page_scope	wedding		https://colliston.com.au		Body contains wedding trigger words (Weddings, Ceremony, Packages, Elopements) throughout; matches the bracket tag.
colliston.com.au	group		V3	V3	0		https://colliston.com.au	whole scope	No layout term (rounds, long tables, cocktail, theatre, flexible-layout claim) is stated anywhere in scope.
colliston.com.au	group		V7	V7	0		https://colliston.com.au	whole scope	No monetary figure of any kind is published, so no basis word can attach to one.
colliston.com.au	group		V10	V10	0		https://colliston.com.au	whole scope	No day, season or year price band is stated; no prices are published at all.
colliston.com.au	group		V18	V18	0		https://colliston.com.au	whole scope	No statement of any kind about on-site accommodation appears in scope.
colliston.com.au	group		V25	V25	0		https://colliston.com.au	whole scope	No price appears anywhere in scope, so the price-placement ordinal is not stated.
colliston.com.au	group		V26	V26	0		https://colliston.com.au	whole scope	No image, gallery, video, floor plan, dimension or capacity-chart reference appears in the captured markdown text.
colliston.com.au	group		V27	V27	0		https://colliston.com.au	whole scope	No testimonial, rating, review count, award or volume claim appears in scope.
colliston.com.au	group		A3	A3	0		https://colliston.com.au	whole scope	No directory, review-platform, social-booking, planner or fair channel is named in the venue's own text; frontmatter lists a directory but that is capture metadata, not published text.
colliston.com.au	offer	colliston.com.au-1	V1	V1_ceremony	1	Indoor / Outdoor Ceremony	https://colliston.com.au	2026 Packages bullet list
colliston.com.au	offer	colliston.com.au-1	V1	V1_venue_only	1	We're a venue hire-only space — you bring your own creative vision and we'll provide the backdrop.	https://colliston.com.au	FAQ
colliston.com.au	offer	colliston.com.au-1	V1	V1_packaged	1	Your hire includes:	https://colliston.com.au	FAQ inclusions list	Several named elements are enumerated under this heading (see V11).
colliston.com.au	offer	colliston.com.au-1	V2	V2_c_indoor_room	1	Indoor / Outdoor Ceremony	https://colliston.com.au	2026 Packages bullet list
colliston.com.au	offer	colliston.com.au-1	V2	V2_c_forest_bush	1	under the towering pines	https://colliston.com.au	Our Story section	Pine Point ceremony setting.
colliston.com.au	offer	colliston.com.au-1	V2	V2_c_barn_shed	1	The Milking Shed	https://colliston.com.au	FAQ ceremony settings
colliston.com.au	offer	colliston.com.au-1	V2	V2_c_beach_waterfront	1	Creekside	https://colliston.com.au	FAQ ceremony settings
colliston.com.au	offer	colliston.com.au-1	V2	V2_r_barn_shed	1	celebrating in the Barn	https://colliston.com.au	Our Story section	Text does not state whether the Barn is the same structure as The Milking Shed.
colliston.com.au	offer	colliston.com.au-1	V2	V2_ceremony_location_choice	1	Choice of ceremony settings – Pine Point, The Milking Shed, or Creekside	https://colliston.com.au	FAQ
colliston.com.au	offer	colliston.com.au-1	V2	V2_multi_space	1	Choice of ceremony settings – Pine Point, The Milking Shed, or Creekside	https://colliston.com.au	FAQ
colliston.com.au	offer	colliston.com.au-1	V2	V2_space_names_verbatim	Pine Point, The Milking Shed, Creekside, Barn	Choice of ceremony settings – Pine Point, The Milking Shed, or Creekside	https://colliston.com.au	FAQ / Our Story	Barn is named separately in prose; possible overlap with The Milking Shed is not stated either way.
colliston.com.au	offer	colliston.com.au-1	V4	V4_figure_verbatim	Min 3 / Max 100 Ceremony Guests	Min 3 / Max 100 Ceremony Guests	https://colliston.com.au	2026 Packages bullet list
colliston.com.au	offer	colliston.com.au-1	V4	V4_max_band	3	Max 100 Ceremony Guests	https://colliston.com.au	2026 Packages bullet list	Stage ceremony, layout not stated; 51-100 band.
colliston.com.au	offer	colliston.com.au-1	V4	V4_min_guests	3	Min 3 Ceremony Guests	https://colliston.com.au	2026 Packages bullet list
colliston.com.au	offer	colliston.com.au-1	V5	V5_access_before	1	Extended hire time for setup and pack-down flexibility	https://colliston.com.au	FAQ hire includes
colliston.com.au	offer	colliston.com.au-1	V5	V5_access_after	1	Extended hire time for setup and pack-down flexibility	https://colliston.com.au	FAQ hire includes
colliston.com.au	offer	colliston.com.au-1	V5	V5_end_time_stated	1	Time restrictions: 10:00 PM	https://colliston.com.au	2026 Packages bullet list
colliston.com.au	offer	colliston.com.au-1	V6	V6	2	Reach out to start planning your perfect day at Colliston Farm.	https://colliston.com.au	closing section	No numeral appears anywhere in scope; the only route to any figure is enquiry.
colliston.com.au	offer	colliston.com.au-1	V9	V9_deposit	1	A deposit secures your date, with the balance due closer to your event.	https://colliston.com.au	FAQ
colliston.com.au	offer	colliston.com.au-1	V9	V9_payment_schedule	1	A deposit secures your date, with the balance due closer to your event.	https://colliston.com.au	FAQ	Two stages (deposit, then balance) are named; no specific dates or percentages are stated.
colliston.com.au	offer	colliston.com.au-1	V11	V11_signing_table	1	Ceremony table and two chairs	https://colliston.com.au	FAQ hire includes
