file	nowhere	conf	surp	surp45	int	false	unsup	sender	sent	words
ltr-015501	4	1.15	1.69	3	1.62	2	2	4	13	289
ltr-014634	3	1.00	1.55	2	1.91	3	1	3	11	243
ltr-030387	3	0.90	1.30	1	1.70	2	0	2	10	176
ltr-037189	3	1.08	1.50	2	1.75	3	2	3	12	261
ltr-043133	3	1.00	1.55	2	2.09	3	2	3	11	229
ltr-043892	3	1.09	1.73	3	1.82	3	1	3	11	219
ltr-062622	4	1.00	1.62	3	1.69	3	2	4	13	258
ltr-065239	4	1.08	1.50	2	1.83	2	2	3	12	282
ltr-072537	4	1.15	1.69	3	1.69	3	2	4	13	254
ltr-077991	5	1.21	1.86	4	1.64	3	3	4	14	310
ltr-099628	4	1.13	1.60	3	1.80	4	2	4	15	324
ltr-106690	5	1.14	1.64	3	1.71	3	3	4	14	288
ltr-122279	4	1.00	1.62	3	1.69	3	2	4	13	272
ltr-125013	3	1.00	1.58	2	1.83	3	1	3	12	246
ltr-160654	5	1.21	1.79	4	1.64	3	3	4	14	297
ltr-189137	5	1.27	1.93	4	1.60	3	3	4	15	327
ltr-221415	3	0.91	1.45	2	1.64	3	2	3	11	200
ltr-224814	5	1.15	1.77	3	1.62	3	2	4	13	280
ltr-266600	4	1.08	1.83	3	1.58	3	2	4	12	243
ltr-267439	3	0.90	1.40	1	1.70	3	1	2	10	180
ltr-271252	4	1.14	1.64	3	1.71	3	1	3	14	288
ltr-284724	3	1.00	1.50	2	1.92	3	1	3	12	254
ltr-297320	4	1.07	1.71	3	1.64	3	2	4	14	285
ltr-300668	3	0.92	1.46	2	2.00	3	2	3	13	263
ltr-310008	4	1.08	1.75	3	1.67	3	1	3	12	252
ltr-360644	4	1.00	1.54	2	1.77	3	2	3	13	259
ltr-360953	3	1.00	1.58	2	2.00	2	2	3	12	252
ltr-366694	3	1.00	1.58	2	2.08	3	2	3	12	246
ltr-377486	3	0.91	1.36	1	1.73	3	1	3	11	207
ltr-424223	5	1.21	1.79	4	1.64	3	2	4	14	281
ltr-424343	4	1.14	1.71	3	1.71	3	3	4	14	295
ltr-444607	5	1.29	1.93	4	1.57	5	3	5	14	346
ltr-452000	5	1.15	1.69	3	1.69	4	2	4	13	283
ltr-482732	4	1.15	1.77	3	1.69	3	3	4	13	273
ltr-485559	3	0.92	1.54	2	2.00	3	2	3	13	241
ltr-485769	4	1.00	1.50	2	1.92	3	1	3	12	255
ltr-496147	4	1.08	1.58	3	1.75	2	2	3	12	253
ltr-497628	3	0.91	1.55	2	1.73	2	2	3	11	208
ltr-524793	3	0.89	1.33	1	1.67	2	0	2	9	159
ltr-542857	3	0.92	1.38	1	1.85	1	1	2	13	241
ltr-543714	4	1.07	1.64	3	1.79	3	1	3	14	290
ltr-556040	3	0.90	1.50	2	1.90	1	1	2	10	195
ltr-572018	4	1.08	1.58	2	1.83	3	2	3	12	266
ltr-585916	5	1.23	1.85	4	1.69	5	2	4	13	307
ltr-590959	4	1.08	1.67	3	1.67	4	1	3	12	262
ltr-593672	5	1.23	1.85	4	1.62	3	3	4	13	269
ltr-596347	4	1.08	1.58	2	1.75	2	1	3	12	254
ltr-613808	5	1.19	1.75	3	1.75	4	3	4	16	334
ltr-622030	4	1.25	2.08	4	1.58	4	3	4	12	253
ltr-676092	3	1.00	1.58	2	2.00	3	2	3	12	260
ltr-680958	5	1.19	1.81	4	1.63	4	2	4	16	341
ltr-686553	3	0.92	1.46	2	1.85	2	2	3	13	261
ltr-706078	3	1.09	1.64	3	1.91	3	2	3	11	246
ltr-721093	3	1.00	1.58	2	1.92	3	1	3	12	270
ltr-735247	5	1.29	1.93	4	1.71	3	3	4	14	305
ltr-738157	4	1.08	1.58	2	1.83	3	2	3	12	263
ltr-750117	4	1.18	1.73	3	1.64	4	2	4	11	228
ltr-755528	5	1.21	1.79	3	1.64	3	2	4	14	295
ltr-758399	5	1.27	1.87	4	1.60	3	3	5	15	288
ltr-793152	3	0.92	1.46	2	1.92	1	1	2	13	245
ltr-798187	3	1.00	1.55	2	1.73	3	1	3	11	220
ltr-812114	4	1.08	1.67	3	1.75	4	2	4	12	245
ltr-832824	4	1.07	1.57	2	1.79	2	1	3	14	281
ltr-845148	3	0.92	1.46	2	1.92	2	1	3	13	239
ltr-863465	4	1.09	1.64	3	1.73	4	1	3	11	235
ltr-875569	3	1.00	1.55	2	1.73	2	1	3	11	247
ltr-892257	3	0.92	1.46	2	1.85	4	2	3	13	224
ltr-898259	4	1.13	1.67	3	1.80	3	2	4	15	310
ltr-914932	4	1.15	1.77	3	1.62	3	3	4	13	253
ltr-931093	3	0.92	1.54	2	1.92	3	1	3	13	259
ltr-931868	4	1.08	1.67	3	1.83	4	2	4	12	261
ltr-935925	4	1.00	1.54	2	1.85	2	1	3	13	267
ltr-943698	3	1.00	1.55	2	1.91	2	2	3	11	224
ltr-972773	5	1.25	1.75	3	1.75	3	3	4	16	334
ltr-991672	4	1.15	1.69	3	1.77	4	2	4	13	280
