file	nowhere	conf	surp	surp45	int	false	unsup	sender	sent	words
ltr-015501.txt	3	0.67	1.67	1	2.50	1	1	1	12	232
ltr-030387.txt	2	0.40	1.53	2	2.87	1	2	2	15	253
ltr-043892.txt	2	0.36	1.18	0	3.00	1	0	0	11	206
ltr-062622.txt	2	0.47	1.47	0	3.00	2	0	2	17	300
ltr-070331.txt	5	0.53	1.60	1	2.67	1	1	2	15	249
ltr-085329.txt	5	0.68	1.80	3	2.68	1	1	3	25	353
ltr-099628.txt	2	0.60	1.93	3	2.53	2	1	3	15	240
ltr-165283.txt	7	0.63	1.68	2	2.74	4	1	1	19	316
ltr-197176.txt	1	0.35	1.50	2	2.85	0	2	2	20	292
ltr-224814.txt	1	0.40	1.30	0	2.90	1	1	1	10	179
ltr-252665.txt	3	0.71	1.64	1	2.79	2	1	1	14	244
ltr-255299.txt	7	0.78	2.06	4	2.50	2	2	4	18	252
ltr-260840.txt	3	0.47	1.65	2	2.88	2	3	3	17	269
ltr-262715.txt	6	0.68	1.84	3	2.80	4	2	3	25	390
ltr-263598.txt	6	0.61	1.61	1	2.72	2	0	1	18	295
ltr-271252.txt	7	0.63	1.68	2	2.74	4	1	1	19	316
ltr-297320.txt	3	0.79	2.00	4	2.58	3	2	4	24	361
ltr-310008.txt	4	0.77	1.95	4	2.64	2	2	4	22	319
ltr-339622.txt	5	0.80	2.05	4	2.50	2	2	4	20	257
ltr-425312.txt	8	1.00	2.21	5	2.53	2	2	4	19	292
ltr-432114.txt	1	0.70	1.85	3	2.65	3	0	3	20	287
ltr-444607.txt	4	0.65	1.90	3	2.55	1	1	3	20	296
ltr-452000.txt	3	0.68	2.11	4	2.53	1	2	4	19	308
ltr-460990.txt	3	0.73	2.00	3	2.47	3	1	3	15	237
ltr-496147.txt	2	0.43	1.57	2	2.86	1	2	2	14	231
ltr-542857.txt	2	0.46	1.31	1	2.92	2	1	1	13	225
ltr-543714.txt	9	0.84	1.95	3	2.53	1	2	2	19	349
ltr-560216.txt	1	0.30	1.40	0	2.80	1	1	1	10	166
ltr-567776.txt	4	0.80	2.00	3	2.60	4	2	3	20	336
ltr-572018.txt	3	0.73	1.91	3	2.55	1	1	3	22	305
ltr-585916.txt	4	0.45	1.18	0	2.91	1	0	0	11	226
ltr-590959.txt	5	1.00	2.13	3	2.50	2	2	3	16	303
ltr-596347.txt	2	0.46	1.31	1	2.92	2	1	1	13	213
ltr-613808.txt	5	0.45	1.55	1	2.80	1	2	1	20	291
ltr-621701.txt	3	0.67	1.58	0	2.50	2	0	0	12	182
ltr-622030.txt	1	0.75	2.06	3	2.56	1	2	3	16	302
ltr-640597.txt	1	0.75	2.06	3	2.56	1	2	3	16	301
ltr-647357.txt	2	0.30	1.30	0	2.70	1	0	0	10	202
ltr-674891.txt	2	0.71	2.00	3	2.65	2	1	3	17	286
ltr-680958.txt	4	0.73	1.95	4	2.45	2	2	4	22	271
ltr-706078.txt	2	0.64	1.93	2	2.57	2	2	2	14	213
ltr-720121.txt	9	0.82	1.95	3	2.59	1	2	2	22	374
ltr-755528.txt	4	0.56	1.69	2	2.69	2	1	3	16	232
ltr-758399.txt	2	0.42	1.42	0	2.83	1	0	1	12	169
ltr-780760.txt	3	0.69	2.06	3	2.63	1	2	3	16	264
ltr-789245.txt	4	0.71	1.57	1	2.71	2	0	1	14	224
ltr-798187.txt	2	0.38	1.77	2	2.46	1	1	2	13	182
ltr-832824.txt	2	0.53	1.67	2	2.87	2	3	3	15	213
ltr-845148.txt	3	0.69	1.62	1	2.62	1	2	1	13	214
ltr-858640.txt	7	0.52	1.67	2	2.76	2	1	2	21	303
ltr-863465.txt	4	0.57	1.57	1	2.71	2	0	1	14	219
ltr-875569.txt	3	0.50	1.57	1	2.64	0	2	1	14	259
ltr-892257.txt	6	0.50	1.42	0	2.58	1	0	0	12	246
ltr-898259.txt	5	0.81	2.13	3	2.44	2	1	3	16	266
ltr-972773.txt	5	0.38	1.63	2	2.75	1	1	2	16	258
