file	nowhere	conf	surp	surp45	int	false	unsup	sender	sent	words
ltr-006463	2	0.39	1.56	2	2.22	1	1	3	18	295
ltr-032595	3	0.30	1.10	0	2.90	1	0	0	10	215
ltr-064508	1	0.58	1.83	1	3.00	2	1	2	12	233
ltr-199564	3	0.46	1.31	0	2.77	1	1	2	13	219
ltr-236162	2	0.31	1.23	1	2.54	1	1	1	13	236
ltr-345899	2	0.65	1.65	2	2.12	2	1	2	17	348
ltr-356591	1	0.13	1.25	0	2.88	0	0	0	8	194
ltr-387041	2	0.30	1.50	0	3.10	1	0	0	10	224
ltr-401961	1	0.17	1.17	0	3.50	1	0	0	6	135
ltr-583715	5	1.00	2.30	3	2.30	1	3	2	10	204
ltr-586558	2	0.33	1.33	1	2.78	0	1	1	9	185
ltr-657977	2	0.20	1.10	0	2.90	1	0	0	10	231
ltr-667836	1	0.06	0.81	0	2.38	0	0	0	16	277
ltr-763239	4	0.53	1.47	2	2.41	3	1	1	17	319
ltr-835645	3	0.50	1.10	0	2.40	1	0	0	10	249
ltr-911215	2	0.35	1.25	1	2.30	1	1	2	20	322
ltr-930866	0	0.20	1.25	1	2.25	1	2	1	20	349
ltr-956768	2	0.42	1.37	1	2.26	1	1	2	19	313
ltr-963555	3	0.70	1.60	2	2.50	1	1	2	10	203
ltr-987646	1	0.18	1.27	0	2.82	2	0	1	11	241
