file	nowhere	conf	surp	surp45	int	false	unsup	sender	sent	words
msg-063264.txt	1	0.31	1.23	1	2.38	1	1	1	13	239
msg-113266.txt	0	0.23	1.08	2	2.23	0	3	2	13	223
msg-159588.txt	0	0.78	2.00	3	2.17	2	4	5	18	314
msg-226570.txt	3	0.53	1.47	2	2.27	2	2	3	15	272
msg-434809.txt	1	0.15	0.69	0	2.46	0	1	1	13	215
msg-540190.txt	0	0.10	0.70	0	2.60	0	0	0	10	214
msg-547016.txt	0	0.18	1.12	1	2.29	1	2	2	17	305
msg-559804.txt	0	0.17	0.92	0	2.50	0	0	1	12	214
msg-627483.txt	0	0.44	1.56	2	2.19	1	3	5	16	276
msg-702708.txt	0	0.08	0.75	0	2.33	0	1	0	12	176
msg-721082.txt	0	0.17	1.08	0	2.50	2	0	1	12	231
msg-893963.txt	1	0.36	1.50	2	2.29	1	3	2	14	292
msg-904170.txt	1	0.33	1.25	0	2.83	0	2	1	12	226
msg-930441.txt	2	0.77	1.31	0	2.85	1	2	0	13	228
msg-934532.txt	1	0.30	0.80	0	2.50	0	0	0	10	212
