file	nowhere	conf	surp	surp45	int	false	unsup	sender	sent	words
msg-063264.txt	1	0.33	1.75	0	2.67	1	1	1	12	213
msg-113266.txt	0	0.36	2.09	1	2.45	0	2	2	11	211
msg-159588.txt	2	0.42	1.75	0	2.83	0	1	1	12	246
msg-226570.txt	0	0.31	1.77	1	2.54	2	2	2	13	213
msg-540190.txt	3	0.75	2.17	1	2.42	2	1	3	12	233
msg-547016.txt	0	0.47	1.93	0	2.53	0	1	3	15	226
msg-559804.txt	1	0.42	1.83	1	2.50	1	3	2	12	218
msg-566420.txt	0	0.40	2.00	1	2.40	0	3	4	15	210
msg-627483.txt	2	0.85	2.20	3	2.20	2	4	5	20	285
msg-701296.txt	2	0.64	2.09	0	2.55	1	0	1	11	194
msg-721082.txt	0	0.55	2.09	1	2.64	1	1	2	11	202
msg-891192.txt	0	0.24	2.00	1	2.35	0	2	3	17	251
msg-893963.txt	3	0.92	2.25	2	2.33	0	3	2	12	249
msg-904170.txt	0	0.23	1.69	1	2.46	1	1	2	13	224
msg-930441.txt	1	0.73	1.91	0	2.55	0	3	1	11	207
msg-934532.txt	2	0.59	2.24	2	2.35	2	2	4	17	225
