file	nowhere	conf	surp	surp45	int	false	unsup	sent	words
msg-066979	4	0.82	1.64	2	3.18	3	0	11	200
msg-072915	3	0.44	1.39	2	2.50	1	1	18	279
msg-106143	4	0.57	1.57	2	2.71	2	1	14	249
msg-120442	3	0.42	1.33	0	3.17	2	1	12	213
msg-124723	4	0.50	1.29	1	2.64	1	2	14	247
msg-180172	3	0.43	1.36	1	2.79	1	2	14	273
msg-215637	6	0.41	1.35	1	2.59	1	2	17	329
msg-255174	4	0.50	1.56	2	2.63	2	2	16	247
msg-269019	3	0.50	1.39	1	2.89	4	2	18	322
msg-293292	2	0.71	1.71	1	3.29	3	0	7	152
msg-303859	7	0.38	1.15	1	3.08	2	0	13	240
msg-325964	2	0.36	1.14	0	2.93	2	1	14	223
msg-326941	5	0.35	1.06	1	2.94	2	1	17	297
msg-328183	5	0.25	0.83	0	3.08	1	1	12	252
msg-385477	6	0.36	0.86	0	3.14	1	1	14	244
msg-405609	4	0.40	1.10	1	3.00	1	1	10	213
msg-409936	4	0.44	1.00	0	3.44	1	0	9	188
msg-431326	3	0.61	1.61	2	2.56	2	2	18	249
msg-521442	2	0.67	2.08	3	2.58	2	2	12	201
msg-663604	4	0.55	1.30	3	2.75	2	2	20	303
msg-788224	2	0.38	1.31	0	3.23	3	1	13	200
msg-856301	4	0.90	2.20	2	2.70	2	2	10	190
msg-966080	3	0.42	1.08	1	3.00	2	1	12	223
msg-983473	4	0.50	1.36	2	2.71	2	2	14	284
msg-997794	4	0.20	0.70	0	3.10	0	0	10	227
