file	V20	V20_form	V20_words	V20_named	V20_required	V21	V21_form	V21_words	V21_amount	V21_guests	V22	V22_form	V22_words	V22_reply	V22_confirm	V22_balance	V22_documents	V23	V23_form	V23_words	V23_period	V23_fee	V23_release	V24	V24_form	V24_words	V24_names	V24_count	V24_differs	V25	V25_form	V25_name	V25_words	V26	V26_items	V26_words	V26_direction	V26_condition	V26_other	V27	V27_form	V27_words	V27_against	V28	V28_items	V28_words	V28_direction	V28_condition	V29	V29_form	V29_words	V29_amount	V29_grace	V30	V30_form	V30_words	V30_role	V30_duties	V30_price	V31	V31_form	V31_words	V31_fee	V31_deadline	V32	V32_form	V32_words	V32_party	V32_rate	V19	V19_buyers	V19_words	V19_within	V19_other	V19_generic	V19_excluded	V19_tier	V19_lead_buyer	quotes	note
capalaba-uniting-church.md	9					9					9							9						9						9				9						9				9					9					9						9					9					9										B_status unreachable (own domain no longer resolves); per Amendment 1.1/§A7 all fourteen variables of Amendment 1.5 are 9, not captured, before any reading.
cardiff-and-glamorgan-memorial-park-and-crematorium.md	0					0					0							0						1	two or more differing by use; by what is included	Attended Personal Service; Celebration of Life; Hire of chapel only (No cremation); Cremation & Chapel Service	Attended Personal Service; Celebration of Life; Hire of chapel only (No cremation); Cremation & Chapel Service	4	by use; by what is included	1	a named product; a named product; a named product	Hire of chapel only (No cremation); Cremation & Chapel Service; Attended Personal Service	Hire of chapel only (No cremation), 10:00-16:00, £515; Cremation & Chapel Service - Adult; Attended Personal Service, 30-minute service, up to 25 attendees, £979	0						1	a denied practice of others	a feeling of not being rushed on a tragic conveyor belt		0					1	extension available at a stated price; a flat overrun charge	Additional time (double slot provision): Extra hour for extended or large services £498; Saturday additional time, double slot £575; Out of Time Penalty - APPLICABLE IF A FOLLOWING CORTEGE IS KEPT WAITING £380	£498; £575; £380		0						0					0					0									V24_names: Attended Personal Service; Celebration of Life; Hire of chapel only (No cremation); Cremation & Chapel Service; V25_name: Hire of chapel only (No cremation); Cremation & Chapel Service; Attended Personal Service; V27_words: a feeling of not being rushed on a tragic conveyor belt; V29_words: Additional time (double slot provision): Extra hour for extended or large services £498; Saturday additional time, double slot £575; Out of Time Penalty - APPLICABLE IF A FOLLOWING CORTEGE IS KEPT WAITING £380	V24/V25: the price-table rows (Hire of chapel only, Cremation & Chapel Service, Attended Personal Service) are counted as separately labelled offerings under I1/I3 and as named products under V25's mechanical extra-word test (words such as 'only', 'cremation', 'Personal' are not on any closed room/use/generic/hire list); a second coder could instead read these as one hire priced several ways by service type, the way weekday/Saturday variants are already read as V3_wk rather than separate V24 offerings, and could read the labels as merely descriptive. Direct Cremation (Funeral Director/Unattended) is excluded from the V24 count as not clearly a chapel-hire offering (no service/chapel use implied). V27: 'not being rushed on a tragic conveyor belt' is coded as a denied practice attributed to others (unnamed crematoria generally), the same sentence already coded at V10 for exclusivity; A10 permits the double coding. V29: the Out of Time Penalty (waiting cortege) is read as a stated consequence of running over into the next booking, distinct from V14's cancellation fee. The Take a Tour page was fetched per the capture record but no body text from it is transcribed in this profile, so V20 could not be coded from it and rests on 0 by default.
castle-chapel-urishay-herefordshire.md	0					0					9							9						9						9				9						0				0					9					9						9					9					9										B_status is mention only, so per §A7/Amendment 1.1's missing-value table the B-only group (V19, V22-V26, V29-V32) is 9 before any reading, and only the A,B group (V20, V21, V27, V28) is coded from Scope A. V20: the page's 'Open daily' visitor-information line could be read by another coder as an advertised viewing time under I2, but nothing states this church is available for hire at all (B_status mention only, no offer exists), so it is coded 0 here rather than as a viewing route to an offer; flagged as unsettled. V21: A_admission is silent; V27/V28: no construction or utility/storage statement appears in the Scope A text captured.
castlebrook-memorial-park.md	0					0					0							0						1	two or more differing by use	Chapel Hire - Service Only; Chapel Hire for Burial; Cremation & Chapel Service	Chapel Hire - Service Only; Chapel Hire for Burial; Cremation & Chapel Service	3	by use	1	a named product; a named product; a named product	Chapel Hire - Service Only; Chapel Hire for Burial; Cremation & Chapel Service	Chapel Hire - Service Only (45mins); Chapel Hire for Burial (45mins); Cremation & Chapel Service	0						0				0					1	extension available at a stated price	Chapel Hire - Additional Time Slot (45mins) - Weekday $400.00; Sat, Sun & Public Holiday $500.00	$400.00; $500.00		1	a person is present but their duties are not stated	Chapel fees include the use of the chapel and a Concierge for a 45 minute time period. A 15 minute interval is scheduled prior to each time period to allow for cleaning of the chapels and for funeral directors to set up and discuss any requirements with the Concierge.	Concierge			0					0					0									V24_names: Chapel Hire - Service Only; Chapel Hire for Burial; Cremation & Chapel Service; V25_name: Chapel Hire - Service Only; Chapel Hire for Burial; Cremation & Chapel Service; V29_words: Chapel Hire - Additional Time Slot (45mins) - Weekday $400.00; Sat, Sun & Public Holiday $500.00; V30_words: Chapel fees include the use of the chapel and a Concierge for a 45 minute time period. A 15 minute interval is scheduled prior to each time period to allow for cleaning of the chapels and for funeral directors to set up and discuss any requirements with the Concierge.	V24/V25: same mechanical-test reasoning as the other InvoCare/Memoria unit in this shard (Cardiff and Glamorgan); a second coder could read the three price-table rows as one hire priced by circumstance rather than three offerings. V30: 'Concierge' is not on V30's closed role-word list (verger, warden, steward, attendant, chapel manager, our staff, our team, etc.); V30_role is verbatim-as-printed rather than closed, so it is recorded regardless, but the sentence states the Concierge's presence without stating a duty for the Concierge itself (the stated duty, 'set up', belongs to funeral directors), so V30_duties is left empty rather than forced onto the closed duty list; flagged as a case a second coder might code 0 for lack of a stated duty of the role itself.
centenary-memorial-gardens.md	1	a viewing or site visit by prior arrangement	For more information or to schedule a visit to our gardens and chapel, contact us today.			0					0							0						0						0				0						0				0					0					0						0					0					0									V20_words: For more information or to schedule a visit to our gardens and chapel, contact us today.	This unit publishes two separately named ceremonial rooms (the Federation Chapel and the Woodlands Chapel) with no principal room designated in the profile; V24 is coded 0 because the text describes two different rooms rather than two offerings of one hired chapel, consistent with A5's rule that a secondary room is read out, but a second coder could read this differently absent a stated principal room. V20 draws on the 'schedule a visit to our gardens and chapel' sentence under I1.
centennial-park.md	0					0					0							0						0						0				0						0				0					0					1	a person is present but their duties are not stated	complimentary multi-angle livestreaming and dedicated onsite support				0					0					0									V30_words: complimentary multi-angle livestreaming and dedicated onsite support	This unit's room_kind is itself a coder's dilemma the profile flags: the venue's own copy calls its rooms 'venues'/'service venues' throughout and applies the word 'chapel' only once, in an undated testimonial ('Beautiful chapel and surrounds') and once in an image filename ('13-HEYSEN-CHAPEL'), naming The Heysen specifically. Four named venues exist (The Mawson, The Florey, The Heysen, Jubilee Complex Foyer) with no stated principal room, so V24 and V25 are coded 0 on the same reasoning as Centenary Memorial Gardens rather than treating the named venues as offerings of one hired chapel; a second coder could reach a different B_status/unit reading altogether given how thin the room-noun evidence is, which is outside this coder's brief to revisit. V30: 'dedicated onsite support' is read as a stated but undutied staff presence under the Jubilee Complex Foyer's inclusions; the same sentence also bears on V6 (livestreaming) under A10.
chapel-1885.md	1	a viewing or site visit by prior arrangement	BOOK A VIEWING; BOOK A VENUE TOUR			0					1	enquiry then a quote	Once you've chosen the package that suits you best and confirmed your event numbers, the team will provide you with a final quote. Our minimum spends are calculated based on event date, timings and package selection. Venue hire is included in the quote.					0						1	two or more differing by use; by buyer; by length or time of day	Your booking duration is inclusive of two (2) hours for set up and one (1) hour pack down (Wedding FAQs); Your booking duration is inclusive of one hour set up and one hour pack down (Corporate & Functions FAQs)	Weddings; Events (Celebrations / Corporate Events)	2	by use; by buyer; by length or time of day	0				0						0				0					0					0						0					0					0					you				V20_words: BOOK A VIEWING; BOOK A VENUE TOUR; V22_words: Once you've chosen the package that suits you best and confirmed your event numbers, the team will provide you with a final quote. Our minimum spends are calculated based on event date, timings and package selection. Venue hire is included in the quote.; V24_names: Weddings; Events (Celebrations / Corporate Events); V19_generic: you	V24: coded on the reading that the separate Wedding FAQs and Corporate & Functions FAQs, each with its own set-up/pack-down block, describe two distinguishable hire offerings of the one converted-chapel space; a second coder could instead read this as one hire marketed to two buyer types with different block lengths, which would code 0. V31: 'What if we need to modify our custom quote... after paying the deposit?' with the answer allowing changes so long as minimum spend is met, was considered for V31 (moving a date) but is coded 0 because the text is about modifying quote details/numbers, not a date move; flagged as a borderline a second coder might read as a move term.
chapel-bar-at-greenwood-hotel.md	0					0					0							0						0						0				0						0				0					0					0						0					0					0										The Chapel page's own 'Perfect for:' and 'Features:' headings carry no list content beneath them in the page source (confirmed by the collector against the raw HTML, not just the rendered text), so almost every one of the fourteen variables is 0 by simple absence rather than by any close call. V20: a 'Virtual Tour' link is offered on the page (per the V11 capture) but with no stated viewing construction attached to it (no sentence saying a viewing is offered, only a bare link label), so it is coded 0 rather than 1 under I1/I2, consistent with Ruling 1.2b's treatment of bare link labels as furniture; a second coder could read the link label itself as sufficient and code 1.
chapel-hill-retreat.md	0					0					0							0						0						0				0						0				0					0					0						0					0					0					your				"V19_generic: your (from ""your marriage ceremony experience"", the Chapel entry)"	This venue's package-differentiation text (The Eternal Love Package, The Forever Package, the Petite Silver/Petite Gold elopement packages, etc.) is read throughout the source profile as OUT OF SCOPE (package): it is stated of the estate/wedding day as a whole, not of the Chapel by name in the same sentence, so V24 and V25 are coded 0 rather than treating the packages as chapel offerings or chapel-offering labels, consistent with the profile's own repeated package-scope notes at V6-V10. No sentence naming the Chapel also names a party (couple, family, individual) with a hire construction; the nearest sighting is the second-person 'your' in the Chapel's own entry ('your marriage ceremony experience'), logged at V19_generic under E2.
chapel-ridge.md	1	a viewing or site visit by prior arrangement	Come visit Chapel Ridge... Book a Private Inspection			0					1	enquiry then a quote	Contact us for pricing & package details.					0						0						0				0						1	an only-or-first claim	Exclusively yours for the day, Chapel Ridge hosts only one wedding at a time, no tourists, no public access, and no shared spaces.		0					0					1	a role attends at stated points only	Our staff will assist anyone that needs help on the day.	Our staff			0					0					0					your special day				V20_words: Come visit Chapel Ridge... Book a Private Inspection; V22_words: Contact us for pricing & package details.; V27_words: Exclusively yours for the day, Chapel Ridge hosts only one wedding at a time, no tourists, no public access, and no shared spaces.; V30_words: Our staff will assist anyone that needs help on the day.; V19_generic: your special day	V27 is coded 1 strictly on the letter of the construction test: 'hosts only one wedding at a time' contains 'only', one of the closed markers, even though the sentence reads as an exclusivity claim already coded at V10 rather than a claim made against a named or unnamed rival; the codebook's own worked example ('More space than you might expect') accepts this cost of a mechanical test, and I follow it, but flag this as the strongest candidate in this shard for two coders disagreeing — a stricter reading would hold that 'only one wedding at a time' compares the venue with itself on other days, not with an alternative, and would code 0. V30: 'assist' is not on V30's closed duty-word list (nearest is 'be on hand'); V30_duties is left empty rather than force-mapped.
